,Sample ID,Run ID,Release version,Sample ID,Sex,Body site
624,SRS452063,SRR920935,2.0,,,
625,SRS452063,SRR920998,2.0,,,
626,SRS452064,SRR920937,2.0,,,
627,SRS452064,SRR921000,2.0,,,
628,SRS452065,SRR920939,2.0,,,
629,SRS452065,SRR921002,2.0,,,
630,SRS452066,SRR920938,2.0,,,
631,SRS452066,SRR921001,2.0,,,
632,SRS452067,SRR920940,2.0,,,
633,SRS452067,SRR921003,2.0,,,
634,SRS452068,SRR920941,2.0,,,
635,SRS452068,SRR921004,2.0,,,
636,SRS452069,SRR920942,2.0,,,
637,SRS452069,SRR921005,2.0,,,
638,SRS452070,SRR920944,2.0,,,
639,SRS452070,SRR921007,2.0,,,
640,SRS452071,SRR920943,2.0,,,
641,SRS452071,SRR921006,2.0,,,
642,SRS452072,SRR920945,2.0,,,
643,SRS452072,SRR921008,2.0,,,
644,SRS452073,SRR920947,2.0,,,
645,SRS452073,SRR921010,2.0,,,
646,SRS452074,SRR920946,2.0,,,
647,SRS452074,SRR921009,2.0,,,
648,SRS452075,SRR920948,2.0,,,
649,SRS452075,SRR921011,2.0,,,
650,SRS452076,SRR920950,2.0,,,
651,SRS452076,SRR921013,2.0,,,
652,SRS452077,SRR920949,2.0,,,
653,SRS452077,SRR921012,2.0,,,
654,SRS452078,SRR920951,2.0,,,
